CharacterId,Name,Author,Width,Height
1,Mr. bison,"Vk, updated by terry kuo, adapted by tenebrous",122.0,99.0
2,Bullseye,Doom & o ilusionista,86.0,113.0
3,Elecman,O ilusionista & akitosama,94.0,80.0
4,Ooze-o,O ilusionista,93.0,125.0
5,Shin kazuma,O ilusionista,66.0,94.0
6,Mexican typhoon,O ilusionista,124.0,131.0
7,Zangief maskered,O ilusionista,138.0,115.0
8,Predalien,Josipknezovicz,237.0,130.0
9,Eva-00,Tonyadv,60.0,124.0
10,009,Hiro,67.0,117.0
11,Gato,Tin,84.0,94.0
12,Victor,Tin,102.0,125.0
13,Eva-01,Tonyadv,62.0,125.0
15,Eva-03,Tonyadv,60.0,124.0
16,Eva-05,Tonyadv,133.0,111.0
17,Captain caveman,Ddr,132.0,147.0
18,Dodgers,Tronboone,110.0,108.0
19,Billy lee,(^o^),62.0,119.0
20,Jimmy lee,(^o^),62.0,119.0
21,Opera elmer,Ddr,98.0,105.0
22,Fatter Albert,Ddr,110.0,151.0
23,Fat albert,Tronboone,110.0,151.0
24,Marvin the martian,Ddr,89.0,80.0
25,Marvin,Telechy,89.0,80.0
26,Momasusta,Ddr,72.0,145.0
27,The Sailor Man,Tronbonne,76.0,104.0
28,Sent,Zolagun,119.0,161.0
29,Sho nuff,Txpot & ddr,,
30,Underdog,Ddr,141.0,137.0
31,1.0,Woman,40.0,87.0
32,Mario,"119way, gmspectre & winodds & mengbin9",76.0,93.0
33,Cocodrilo,,67.0,66.0
34,Mr1 daz bones,,42.0,62.0
35,Mr2.bon kure,,52.0,63.0
36,Stinko man - 20x6,Acey,78.0,120.0
37,Gecko moria,,83.0,116.0
38,2ban-tan,Woman,29.0,110.0
39,2k,Woman,55.0,130.0
40,Agent p,Chibasin,53.0,59.0
41,Mokey d. luffy,,42.0,52.0
42,Tron Bonne MVC2,Legendaryxm90,136.0,118.0
43,Zorororonoa,,40.0,47.0
44,Arlong,,84.0,99.0
45,Nico robin,,28.0,70.0
46,Akane satomura,586,44.0,88.0
47,Kanna 586,586,221.0,194.0
48,Nayuki minase,586,49.0,97.0
49,Omega tiger woods,Most mysterious,196.0,357.0
50,Sanji,,23.0,63.0
51,Franky,,53.0,72.0
52,95,Woman,77.0,94.0
53,95ani,Man,82.0,121.0
54,98,@@@ woman,36.0,84.0
56,A-green,Nhk,123.0,86.0
57,Another k9999,Basara-kun,44.0,111.0
58,A.b.a,Muteki,163.0,284.0
59,Abareimu,Otto,28.0,56.0
60,A Bison,Coelasquid and pots,418.0,318.0
61,Abui,Woman,89.0,101.0
62,Acguy,Gm,95.0,85.0
63,Another chun-li,Koldskool,90.0,88.0
64,Adam,Tokage,110.0,194.0
65,Adamas,,94.0,111.0
66,Atomic dust amiba,Otto,177.0,163.0
67,Acirno_3.5,Pre-to,53.0,118.0
68,Adom,Teh borni teem produkshunz with spaghetti,140.0,108.0
69,Adon SF4,Jose cuervo,305.0,510.0
70,Aeris,The great matsutzu,99.0,102.0
71,Agito_of_the_dark,H,127.0,112.0
72,Armored gohan,null,92.0,90.0
73,Agony,T.o.p.s and daraku,100.0,173.0
74,Agrias BC,Bluishcat,72.0,106.0
75,Agrias,Ouchi,72.0,106.0
76,Aisha,Bane84,128.0,294.0
77,Akaneko,Okan,200.0,209.0
78,Redman,Man,73.0,112.0
79,Akiha,Chikuchikugonzalez,50.0,104.0
80,Eiko magami,null,153.0,132.0
81,Aku-amakusa,Masquer,116.0,117.0
82,Akuma SF4,Sfiv,78.0,120.0
83,Akuma shin,B.skryo-rextrion + basara-kun,68.0,104.0
84,Akuma,Kamekaze,55.0,117.0
85,Aladdin,Dj hannibalroyce,20.0,53.0
86,Albiole,Drkelexo,144.0,147.0
87,Albus,Shadow099,47.0,112.0
88,Alcott,Kamekaze,305.0,538.0
89,Alessi,Hh,77.0,87.0
90,Aleti,Pre-to,53.0,113.0
91,Alex mercer,"Gans, pazitivvv",64.0,112.0
92,Alice,Nhk,41.0,84.0
93,Alice margatroid,Atusi,53.0,95.0
94,Altered Amiba,Melvanainchains + the_none,206.0,288.0
95,Alter amiba,Melvanainchains + the_none,206.0,288.0
96,Alucard,Akimoto,64.0,141.0
97,Alucard RAI,Raigugiraru,23.0,47.0
98,Mad grinder,Basara-kun,134.0,110.0
99,Amano hyo,Luchini,304.0,224.0
100,Amber,Suika_no_otto,49.0,95.0
101,Ami,Kenshin himura,31.0,44.0
102,Ami bf,Kenshin himura,26.0,47.0
103,Amingo,null,138.0,124.0
104,Amy,Cyanide,33.0,34.0
105,Amy Rose,Mugen hunter,35.0,61.0
106,Android 17,null,42.0,73.0
107,Android18,Gohanssm2,61.0,86.0
108,C-19,null,77.0,95.0
109,20 (dr. gero),Gohanssm2,68.0,81.0
